,comparison_Type,text1_index,text1_class,text2_index,text2_class,similarity
0,Similarity(same_class),0,alt.atheism,1,alt.atheism,0.3169589
1,Similarity(same_class),0,alt.atheism,2,alt.atheism,0.27547568
2,Similarity(same_class),0,alt.atheism,3,alt.atheism,0.32195085
3,Similarity(same_class),0,alt.atheism,4,alt.atheism,0.44590658
4,Similarity(different_class),0,alt.atheism,5,comp.graphics,0.27225024
5,Similarity(different_class),0,alt.atheism,10,comp.os.ms-windows.misc,0.1894759
6,Similarity(different_class),0,alt.atheism,15,comp.sys.ibm.pc.hardware,0.27163097
7,Similarity(different_class),0,alt.atheism,20,comp.sys.mac.hardware,0.29130563
8,Similarity(different_class),0,alt.atheism,25,comp.windows.x,0.2242285
9,Similarity(different_class),0,alt.atheism,30,misc.forsale,0.2967892
10,Similarity(different_class),0,alt.atheism,35,rec.autos,0.27392775
11,Similarity(different_class),0,alt.atheism,40,rec.motorcycles,0.044806533
12,Similarity(different_class),0,alt.atheism,45,rec.sport.baseball,0.114829175
13,Similarity(different_class),0,alt.atheism,50,rec.sport.hockey,0.20435427
14,Similarity(different_class),0,alt.atheism,55,sci.crypt,0.22490773
15,Similarity(different_class),0,alt.atheism,60,sci.electronics,0.17500998
16,Similarity(different_class),0,alt.atheism,65,sci.med,0.06324288
17,Similarity(different_class),0,alt.atheism,70,sci.space,0.47229883
18,Similarity(different_class),0,alt.atheism,75,soc.religion.christian,0.26907155
19,Similarity(different_class),0,alt.atheism,80,talk.politics.guns,0.34081638
20,Similarity(different_class),0,alt.atheism,85,talk.politics.mideast,0.12922966
21,Similarity(different_class),0,alt.atheism,90,talk.politics.misc,0.160985
22,Similarity(different_class),0,alt.atheism,95,talk.religion.misc,0.236891
23,Similarity(same_class),5,comp.graphics,6,comp.graphics,0.287197
24,Similarity(same_class),5,comp.graphics,7,comp.graphics,0.35410428
25,Similarity(same_class),5,comp.graphics,8,comp.graphics,0.2920601
26,Similarity(same_class),5,comp.graphics,9,comp.graphics,0.23913838
27,Similarity(different_class),5,comp.graphics,0,alt.atheism,0.27972233
28,Similarity(different_class),5,comp.graphics,10,comp.os.ms-windows.misc,0.21884856
29,Similarity(different_class),5,comp.graphics,15,comp.sys.ibm.pc.hardware,0.30084836
30,Similarity(different_class),5,comp.graphics,20,comp.sys.mac.hardware,0.47792202
31,Similarity(different_class),5,comp.graphics,25,comp.windows.x,0.22026
32,Similarity(different_class),5,comp.graphics,30,misc.forsale,0.34356195
33,Similarity(different_class),5,comp.graphics,35,rec.autos,0.21187228
34,Similarity(different_class),5,comp.graphics,40,rec.motorcycles,0.15231335
35,Similarity(different_class),5,comp.graphics,45,rec.sport.baseball,0.23460677
36,Similarity(different_class),5,comp.graphics,50,rec.sport.hockey,0.10889818
37,Similarity(different_class),5,comp.graphics,55,sci.crypt,0.09054446
38,Similarity(different_class),5,comp.graphics,60,sci.electronics,0.16638109
39,Similarity(different_class),5,comp.graphics,65,sci.med,0.06594588
40,Similarity(different_class),5,comp.graphics,70,sci.space,0.3092902
